Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
72,"Friday, Jun 21",boxscore,OAK,@,CIN,W,5,3,,41-31,3,4,Harang,Williamson,Koch,02:46,N,"26,101",+++++,
73,"Saturday, Jun 22",boxscore,OAK,@,CIN,W,10,3,,42-31,3,3,Zito,Chen,,02:42,N,"27,243",++++++,
74,"Sunday, Jun 23",boxscore,OAK,@,CIN,W,5,1,,43-31,3,3,Mulder,Reitsma,,02:47,D,"23,961",+++++++,
75,"Monday, Jun 24",boxscore,OAK,@,SEA,W,13,2,,44-31,2,2,Lidle,Garcia,,02:54,N,"45,602",++++++++,
76,"Tuesday, Jun 25",boxscore,OAK,@,SEA,L,1,7,,44-32,2,3,Baldwin,Hudson,,02:34,N,"43,985",-,
77,"Wednesday, Jun 26",boxscore,OAK,@,SEA,L,0,1,,44-33,3,4,Hasegawa,Bradford,Sasaki,03:00,N,"42,120",--,
78,"Thursday, Jun 27",boxscore,OAK,@,SEA,L,4,7,,44-34,3,5,Halama,Zito,Rhodes,03:12,N,"42,159",---,
79,"Friday, Jun 28",boxscore,OAK,,SFG,W,10,6,,45-34,3,5,Mulder,Hernandez,,03:15,N,"46,345",+,
80,"Saturday, Jun 29",boxscore,OAK,,SFG,L,3,5,,45-35,3,6,Schmidt,Lidle,Nen,03:15,D,"53,501",-,
81,"Sunday, Jun 30",boxscore,OAK,,SFG,W,7,0,,46-35,3,5,Hudson,Ortiz,,03:04,D,"54,123",+,
82,"Monday, Jul 1",boxscore,OAK,,MIN,L,4,5,,46-36,3,6,Romero,Venafro,Guardado,03:37,N,"13,503",-,
83,"Tuesday, Jul 2",boxscore,OAK,,MIN,W-wo,4,3,,47-36,3,5,Bradford,Guardado,,02:50,N,"15,317",+,
84,"Wednesday, Jul 3",boxscore,OAK,,MIN,L,1,2,,47-37,3,6,Santana,Mulder,Guardado,02:47,N,"30,213",-,
85,"Thursday, Jul 4",boxscore,OAK,,KCR,W-wo,3,2,,48-37,3,6,Koch,Hernandez,,02:44,N,"28,315",+,
86,"Friday, Jul 5",boxscore,OAK,,KCR,W-wo,4,3,,49-37,3,5,Mecir,Hernandez,,02:53,N,"53,802",++,
87,"Saturday, Jul 6",boxscore,OAK,,KCR,L,3,4,10,49-38,3,5,Mullen,Koch,Voyles,03:45,D,"18,259",-,
88,"Sunday, Jul 7",boxscore,OAK,,KCR,W,3,2,,50-38,3,5,Zito,Byrd,Koch,02:36,D,"31,676",+,
89,"Thursday, Jul 11",boxscore,OAK,@,BAL,W,4,1,,51-38,3,5,Mulder,Erickson,Koch,02:58,N,"32,507",++,
90,"Friday, Jul 12",boxscore,OAK,@,BAL,W,1,0,,52-38,3,5,Hudson,Johnson,Koch,03:09,N,"33,366",+++,
91,"Saturday, Jul 13",boxscore,OAK,@,BAL,W,6,0,,53-38,3,4,Zito,Driskill,,02:58,N,"36,100",++++,
92,"Sunday, Jul 14",boxscore,OAK,@,BAL,L,3,6,,53-39,3,5,Lopez,Lidle,Julio,02:40,D,"32,853",-,
93,"Monday, Jul 15",boxscore,OAK,@,TBD,W,4,0,,54-39,2,4,Lilly,Rupe,,02:55,N,"10,116",+,
94,"Tuesday, Jul 16",boxscore,OAK,@,TBD,W,2,1,,55-39,2,3,Mulder,Sosa,Koch,02:52,N,"10,592",++,
95,"Wednesday, Jul 17",boxscore,OAK,,ANA,L,4,10,,55-40,3,4,Appier,Hudson,,03:26,N,"38,547",-,
96,"Thursday, Jul 18",boxscore,OAK,,ANA,W,2,0,,56-40,2,4,Zito,Sele,Koch,02:41,N,"15,733",+,
97,"Friday, Jul 19",boxscore,OAK,,TEX,W,10,0,,57-40,2,3,Lidle,Myette,,02:32,N,"21,445",++,
98,"Saturday, Jul 20",boxscore,OAK,,TEX,W-wo,6,5,,58-40,2,2,Koch,Burba,,03:00,N,"31,129",+++,
99,"Sunday, Jul 21",boxscore,OAK,,TEX,L,3,7,12,58-41,3,2,Powell,Mecir,,03:51,D,"27,567",-,
100,"Tuesday, Jul 23",boxscore,OAK,@,ANA,W,2,1,,59-41,2,2,Zito,Appier,Koch,03:00,N,"25,370",+,
101,"Wednesday, Jul 24",boxscore,OAK,@,ANA,L,1,5,,59-42,3,2,Sele,Hudson,,02:35,N,"25,240",-,
102,"Thursday, Jul 25",boxscore,OAK,@,ANA,L,4,5,,59-43,3,3,Shields,Mecir,Weber,03:18,D,"31,653",--,
103,"Friday, Jul 26",boxscore,OAK,@,TEX,L,4,12,,59-44,3,3,Rodriguez,Mulder,,03:19,N,"34,585",---,
104,"Saturday, Jul 27",boxscore,OAK,@,TEX,L-wo,6,10,10,59-45,3,4,Kolb,Koch,,03:55,N,"35,359",----,
105,"Sunday, Jul 28",boxscore,OAK,@,TEX,W,12,2,,60-45,3,3,Zito,Alvarez,,03:19,N,"24,022",+,
106,"Monday, Jul 29",boxscore,OAK,,CLE,L,6,8,,60-46,3,4,Mulholland,Magnante,Wohlers,03:45,N,"18,297",-,
107,"Tuesday, Jul 30",boxscore,OAK,,CLE,L,4,5,,60-47,3,5,Drese,Lidle,Wohlers,03:28,N,"14,737",--,
108,"Wednesday, Jul 31",boxscore,OAK,,CLE,W,6,4,,61-47,3,5,Mulder,Westbrook,Koch,02:39,D,"47,574",+,
109,"Thursday, Aug 1",boxscore,OAK,,DET,W,5,3,,62-47,3,5,Bowie,Sparks,Koch,03:01,N,"13,861",++,
110,"Friday, Aug 2",boxscore,OAK,,DET,L,1,3,,62-48,3,6,Redman,Zito,Acevedo,02:43,N,"17,197",-,
111,"Saturday, Aug 3",boxscore,OAK,,DET,W,8,4,,63-48,3,6,Hudson,Lima,,02:38,D,"29,648",+,
112,"Sunday, Aug 4",boxscore,OAK,,DET,W,4,0,,64-48,3,5,Lidle,Maroth,,02:32,D,"24,546",++,
113,"Tuesday, Aug 6",boxscore,OAK,@,BOS,W,9,1,,65-48,3,4,Mulder,Wakefield,,03:08,N,"34,059",+++,
114,"Wednesday, Aug 7",boxscore,OAK,@,BOS,W,3,2,,66-48,3,4,Harang,Burkett,Koch,03:25,N,"33,325",++++,
115,"Thursday, Aug 8",boxscore,OAK,@,BOS,L,2,4,,66-49,3,5,Lowe,Zito,Urbina,02:32,N,"33,855",-,
116,"Friday, Aug 9",boxscore,OAK,@,NYY,W,3,2,16,67-49,3,4,Bowie,Hitchcock,,06:00,N,"54,316",+,
117,"Saturday, Aug 10",boxscore,OAK,@,NYY,W,8,0,,68-49,3,4,Lidle,Wells,,03:12,D,"54,439",++,
118,"Sunday, Aug 11",boxscore,OAK,@,NYY,L,5,8,,68-50,3,4,Mussina,Mulder,,03:13,D,"54,703",-,
119,"Monday, Aug 12",boxscore,OAK,,TOR,L,1,2,,68-51,3,4.5,Loaiza,Harang,Escobar,02:29,N,"14,178",--,
120,"Tuesday, Aug 13",boxscore,OAK,,TOR,W,5,4,,69-51,3,4.5,Zito,Carpenter,Koch,02:23,N,"17,466",+,
121,"Wednesday, Aug 14",boxscore,OAK,,TOR,W,4,2,,70-51,3,3.5,Hudson,Walker,Koch,02:27,D,"40,528",++,
122,"Friday, Aug 16",boxscore,OAK,,CHW,W,1,0,,71-51,3,3,Lidle,Buehrle,Koch,02:16,N,"22,622",+++,
123,"Saturday, Aug 17",boxscore,OAK,,CHW,W,9,2,,72-51,3,2,Mulder,Garland,,02:48,D,"40,658",++++,
124,"Sunday, Aug 18",boxscore,OAK,,CHW,W,7,4,,73-51,3,2,Zito,Wright,,02:47,D,"31,489",+++++,
125,"Monday, Aug 19",boxscore,OAK,@,CLE,W,8,1,,74-51,3,1,Hudson,Baez,,02:29,N,"27,696",++++++,
126,"Tuesday, Aug 20",boxscore,OAK,@,CLE,W,6,3,,75-51,1,Tied,Harang,Westbrook,Koch,02:49,N,"27,527",+++++++,
127,"Wednesday, Aug 21",boxscore,OAK,@,CLE,W,6,0,,76-51,1,Tied,Lidle,Rodriguez,,02:23,N,"26,916",++++++++,
128,"Thursday, Aug 22",boxscore,OAK,@,CLE,W,9,3,,77-51,1,Tied,Mulder,Phillips,Bradford,02:50,N,"27,759",+++++++++,
129,"Friday, Aug 23",boxscore,OAK,@,DET,W,9,1,,78-51,1,up 1.0,Zito,Powell,,02:49,N,"21,807",++++++++++,
130,"Saturday, Aug 24",boxscore,OAK,@,DET,W,12,3,,79-51,1,up 2.0,Hudson,Lima,,02:35,N,"19,045",+++++++++++,
131,"Sunday, Aug 25",boxscore,OAK,@,DET,W,10,7,,80-51,1,up 2.0,Mecir,Walker,Koch,03:28,D,"24,346",++++++++++++,
132,"Monday, Aug 26",boxscore,OAK,@,KCR,W,6,3,,81-51,1,up 2.5,Lidle,May,Koch,03:22,N,"11,096",+++++++++++++,
133,"Tuesday, Aug 27",boxscore,OAK,@,KCR,W,6,4,,82-51,1,up 3.0,Mulder,Hernandez,Koch,02:47,N,"13,077",++++++++++++++,
