Gm#,Date,Tm,homeAway,Opp,W/L,R,RA,Inn,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
115,"Thursday, Aug 9",OAK,home,BOS,W,6,0,9,2,18,Zito,Wakefield,,02:28,D,"28,781",++++++++,
116,"Friday, Aug 10",OAK,home,NYY,W,8,1,9,2,17,Lidle,Lilly,,02:42,N,"38,728",+++++++++,
117,"Saturday, Aug 11",OAK,home,NYY,W,8,6,9,2,17,Magnante,Hitchcock,Isringhausen,03:16,N,"45,253",++++++++++,
118,"Sunday, Aug 12",OAK,home,NYY,W-wo,4,2,9,2,17,Mulder,Stanton,,02:33,D,"47,725",+++++++++++,
119,"Tuesday, Aug 14",OAK,away,TOR,L-wo,3,6,9,2,18,Koch,Isringhausen,,02:59,N,"25,121",-,
120,"Wednesday, Aug 15",OAK,away,TOR,L,2,5,9,2,19,Escobar,Zito,Koch,02:40,N,"23,135",--,
121,"Thursday, Aug 16",OAK,away,TOR,W,8,4,9,2,18,Lidle,Lyon,,03:20,D,"30,062",+,
122,"Friday, Aug 17",OAK,away,CHW,W,9,2,9,2,17,Hiljus,Wright,,03:05,N,"33,834",++,
123,"Saturday, Aug 18",OAK,away,CHW,W,5,4,9,2,17,Heredia,Howry,Isringhausen,03:08,D,"27,861",+++,
124,"Sunday, Aug 19",OAK,away,CHW,W,8,7,9,2,17,Magnante,Biddle,Isringhausen,03:42,D,"25,019",++++,
125,"Monday, Aug 20",OAK,home,CLE,W,9,0,9,2,16,Zito,Finley,,02:47,N,"18,133",+++++,
126,"Tuesday, Aug 21",OAK,home,CLE,L,1,2,9,2,17,Woodard,Lidle,Wickman,03:14,N,"19,343",-,
127,"Wednesday, Aug 22",OAK,home,CLE,L,4,5,11,2,18,Wickman,Vizcaino,Riske,04:30,N,"40,992",--,
128,"Thursday, Aug 23",OAK,home,CLE,L,7,9,9,2,19,Nagy,Mulder,Wickman,03:28,D,"22,281",---,
129,"Friday, Aug 24",OAK,home,DET,L,4,8,9,2,20,Cornejo,Hudson,,03:20,N,"41,646",----,
130,"Saturday, Aug 25",OAK,home,DET,W,6,1,9,2,20,Zito,Sparks,,02:45,D,"24,236",+,
131,"Sunday, Aug 26",OAK,home,DET,W,7,6,9,2,19,Tam,Perisho,Isringhausen,03:13,D,"27,915",++,
132,"Tuesday, Aug 28",OAK,away,BAL,W,6,2,9,2,18,Mulder,Ponson,,02:49,N,"31,048",+++,
133,"Wednesday, Aug 29",OAK,away,BAL,W,4,1,9,2,18,Hudson,Towers,,02:48,N,"31,628",++++,
134,"Thursday, Aug 30",OAK,away,BAL,W,15,0,9,2,18,Zito,Johnson,,03:26,N,"44,068",+++++,
135,"Friday, Aug 31",OAK,away,TBD,W,9,5,9,2,17,Lidle,Rekar,,03:08,N,"11,230",++++++,
136,"Saturday, Sep 1",OAK,away,TBD,L,6,8,9,2,18,Seay,Tam,Yan,03:06,D,"15,944",-,
137,"Sunday, Sep 2",OAK,away,TBD,W,3,1,9,2,18,Mulder,Creek,,02:38,D,"14,634",+,
138,"Monday, Sep 3",OAK,home,BAL,W,4,2,9,2,18,Hudson,Towers,Isringhausen,02:28,N,"28,665",++,
139,"Tuesday, Sep 4",OAK,home,BAL,W,5,2,9,2,17,Zito,Johnson,Isringhausen,03:12,N,"16,123",+++,
140,"Wednesday, Sep 5",OAK,home,BAL,W,12,6,9,2,17,Lidle,Maduro,,03:00,D,"30,922",++++,
141,"Friday, Sep 7",OAK,home,TBD,W,9,3,9,2,17,Hiljus,Rekar,,02:57,N,"15,037",+++++,
142,"Saturday, Sep 8",OAK,home,TBD,W,10,4,9,2,17,Mulder,Bierbrodt,,02:51,D,"32,548",++++++,
143,"Sunday, Sep 9",OAK,home,TBD,W-wo,4,3,13,2,17,Vizcaino,Colome,,04:10,D,"18,871",+++++++,
144,"Monday, Sep 10",OAK,home,TEX,W,7,1,9,2,17,Zito,Myette,,02:35,N,"12,115",++++++++,
145,"Tuesday, Sep 18",OAK,away,TEX,W,6,5,9,2,17,Mulder,Venafro,Isringhausen,03:23,N,"21,517",+++++++++,
146,"Wednesday, Sep 19",OAK,away,TEX,L,4,10,9,2,18,Davis,Hudson,Michalak,03:11,N,"25,013",-,
147,"Thursday, Sep 20",OAK,away,TEX,W,7,2,9,2,17,Zito,Oliver,,03:00,N,"22,219",+,
148,"Friday, Sep 21",OAK,home,SEA,W,5,1,9,2,16,Lidle,Abbott,Isringhausen,03:01,N,"30,387",++,
149,"Saturday, Sep 22",OAK,home,SEA,W,11,2,9,2,15,Hiljus,Pineiro,,03:12,D,"45,734",+++,
150,"Sunday, Sep 23",OAK,home,SEA,W,7,4,9,2,14,Mulder,Garcia,Isringhausen,03:03,D,"38,628",++++,
151,"Tuesday, Sep 25",OAK,home,ANA,W,9,3,9,2,14.5,Hudson,Hasegawa,,03:20,N,"14,172",+++++,
152,"Wednesday, Sep 26",OAK,home,ANA,W,3,1,9,2,14.5,Zito,Washburn,Isringhausen,02:44,N,"27,635",++++++,
153,"Thursday, Sep 27",OAK,home,ANA,W,6,2,9,2,14,Lidle,Wise,,02:35,D,"17,167",+++++++,
154,"Friday, Sep 28",OAK,away,SEA,L,3,5,9,2,15,Garcia,Mulder,Sasaki,02:43,N,"45,695",-,
155,"Saturday, Sep 29",OAK,away,SEA,W,8,4,9,2,14,Hiljus,Moyer,,03:11,N,"45,104",+,
156,"Sunday, Sep 30",OAK,away,SEA,L,3,6,9,2,15,Sele,Hudson,,02:50,D,"45,674",-,
157,"Tuesday, Oct 2",OAK,home,TEX,W,9,4,9,2,15,Zito,Oliver,,02:49,N,"18,336",+,2001-09-11 (9/11 attack)
158,"Wednesday, Oct 3",OAK,home,TEX,W,5,4,9,2,15,Lidle,Michalak,Isringhausen,02:40,D,"23,740",++,2001-09-12 (9/11 attack)
159,"Thursday, Oct 4",OAK,away,ANA,W,5,1,9,2,15,Mulder,Valdez,,02:44,N,"14,215",+++,2001-09-13 (9/11 attack)
160,"Friday, Oct 5",OAK,away,ANA,W,6,2,9,2,15,Hudson,Ortiz,,03:06,N,"26,343",++++,2001-09-14 (9/11 attack)
161,"Saturday, Oct 6",OAK,away,ANA,W,6,3,9,2,15,Magnante,Schoeneweis,Isringhausen,03:03,D,"26,276",+++++,2001-09-15 (9/11 attack)
162,"Sunday, Oct 7",OAK,away,ANA,W,6,2,9,2,14,Zito,Cooper,,03:00,D,"18,682",++++++,2001-09-16 (9/11 attack)
